[0 "nothing_item"]
[108 "Ruby Lily Blossom"]
[109 "Garnet Lily Blossom"]
[110 "Emerald Lily Blossom"]
[111 "Golden Grace"]
[112 "Diamond Golden Grace"]
[113 "Opal Golden Grace"]
[114 "Sapphire Golden Grace"]
[115 "Ruby Golden Grace"]
[116 "Garnet Golden Grace"]
[117 "Emerald Golden Grace"]
[118 "Dimi Life"]
[119 "Diamond Dimi Life"]
[120 "Opal Dimi Life"]
[121 "Sapphire Dimi Life"]
[122 "Ruby Dimi Life"]
[123 "Garnet Dimi Life"]
[124 "Emerald Dimi Life"]
[125 "Lat Life"]
[126 "Diamond Lat Life"]
[127 "Opal Lat Life"]
[128 "Sapphire Lat Life"]
[129 "Ruby Lat Life"]
[130 "Garnet Lat Life"]
[131 "Emerald Lat Life"]
[132 "Summon Spirit"]
[133 "Diamond Summon Spirit"]
[134 "Opal Summon Spirit"]
[135 "Sapphire Summon Spirit"]
[136 "Ruby Summon Spirit"]
[137 "Garnet Summon Spirit"]
[138 "Emerald Summon Spirit"]
[139 "Nature's Blessing"]
[140 "Diamond Nature's Blessing"]
[141 "Opal Nature's Blessing"]
[142 "Sapphire Nature's Blessing"]
[143 "Ruby Nature's Blessing"]
[144 "Garnet Nature's Blessing"]
[145 "Emerald Nature's Blessing"]
[146 "Sword Thrust"]
[147 "Diamond Sword Thrust"]
[148 "Opal Sword Thrust"]
[149 "Sapphire Sword Thrust"]
[150 "Ruby Sword Thrust"]
[151 "Garnet Sword Thrust"]
[152 "Emerald Sword Thrust"]
[153 "Siphon Spell"]
[154 "Diamond Siphon Spell"]
[155 "Opal Siphon Spell"]
[156 "Sapphire Siphon Spell"]
[157 "Ruby Siphon Spell"]
[158 "Garnet Siphon Spell"]
[159 "Emerald Siphon Spell"]
[160 "Magicked Fleche"]
[161 "Diamond Magicked Fleche"]
[162 "Opal Magicked Fleche"]
[163 "Sapphire Magicked Fleche"]
[164 "Ruby Magicked Fleche"]
[165 "Garnet Magicked Fleche"]
[166 "Emerald Magicked Fleche"]
[167 "Novi Dark"]
[168 "Diamond Novi Dark"]
[169 "Opal Novi Dark"]
[170 "Sapphire Novi Dark"]
[171 "Ruby Novi Dark"]
[172 "Garnet Novi Dark"]
[173 "Emerald Novi Dark"]
[174 "Arrowshot"]
[175 "Diamond Arrowshot"]
[176 "Opal Arrowshot"]
[177 "Sapphire Arrowshot"]
[178 "Ruby Arrowshot"]
[179 "Garnet Arrowshot"]
[180 "Emerald Arrowshot"]
[181 "Rabbitsnare"]
[182 "Diamond Rabbitsnare"]
[183 "Opal Rabbitsnare"]
[184 "Sapphire Rabbitsnare"]
[185 "Ruby Rabbitsnare"]
[186 "Garnet Rabbitsnare"]
[187 "Emerald Rabbitsnare"]
[188 "Barrage"]
[189 "Diamond Barrage"]
[190 "Opal Barrage"]
[191 "Sapphire Barrage"]
[192 "Ruby Barrage"]
[193 "Garnet Barrage"]
[194 "Emerald Barrage"]
[195 "Careful Aim"]
[196 "Diamond Careful Aim"]
[197 "Opal Careful Aim"]
[198 "Sapphire Careful Aim"]
[199 "Ruby Careful Aim"]
[200 "Garnet Careful Aim"]
[201 "Emerald Careful Aim"]
[202 "Flame Hook"]
[203 "Diamond Flame Hook"]
[204 "Opal Flame Hook"]
[205 "Sapphire Flame Hook"]
[206 "Ruby Flame Hook"]
[207 "Garnet Flame Hook"]
[208 "Emerald Flame Hook"]
[209 "Quick Jab"]
[210 "Diamond Quick Jab"]
[211 "Opal Quick Jab"]
[212 "Sapphire Quick Jab"]
[213 "Ruby Quick Jab"]
[214 "Garnet Quick Jab"]
[215 "Emerald Quick Jab"]
[216 "Fury"]
[217 "Diamond Fury"]
[218 "Opal Fury"]
[219 "Sapphire Fury"]
[220 "Ruby Fury"]
[221 "Garnet Fury"]
[222 "Emerald Fury"]
[223 "Footwork"]
[224 "Diamond Footwork"]
[225 "Opal Footwork"]
[226 "Sapphire Footwork"]
[227 "Ruby Footwork"]
[228 "Garnet Footwork"]
[229 "Emerald Footwork"]
[230 "Spear Thrust"]
[231 "Diamond Spear Thrust"]
[232 "Opal Spear Thrust"]
[233 "Sapphire Spear Thrust"]
[234 "Ruby Spear Thrust"]
[235 "Garnet Spear Thrust"]
[236 "Emerald Spear Thrust"]
[237 "Lat Holy"]
[238 "Diamond Lat Holy"]
[239 "Opal Lat Holy"]
[240 "Sapphire Lat Holy"]
[241 "Ruby Lat Holy"]
[242 "Garnet Lat Holy"]
[243 "Emerald Lat Holy"]
[244 "Novi Holy"]
[245 "Diamond Novi Holy"]
[246 "Opal Novi Holy"]
[247 "Sapphire Novi Holy"]
[248 "Ruby Novi Holy"]
[249 "Garnet Novi Holy"]
[250 "Emerald Novi Holy"]
[251 "Roll & Phalanx"]
[252 "Diamond Roll & Phalanx"]
[253 "Opal Roll & Phalanx"]
[254 "Sapphire Roll & Phalanx"]
[255 "Ruby Roll & Phalanx"]
[256 "Garnet Roll & Phalanx"]
[257 "Emerald Roll & Phalanx"]
[258 "Strike Command"]
[259 "Diamond Strike Command"]
[260 "Opal Strike Command"]
[261 "Sapphire Strike Command"]
[262 "Ruby Strike Command"]
[263 "Garnet Strike Command"]
[264 "Emerald Strike Command"]
[265 "March Command"]
[266 "Diamond March Command"]
[267 "Opal March Command"]
[268 "Sapphire March Command"]
[269 "Ruby March Command"]
[270 "Garnet March Command"]
[271 "Emerald March Command"]
[272 "Abyssal Call"]
[273 "Diamond Abyssal Call"]
[274 "Opal Abyssal Call"]
[275 "Sapphire Abyssal Call"]
[276 "Ruby Abyssal Call"]
[277 "Garnet Abyssal Call"]
[278 "Emerald Abyssal Call"]
[279 "Protect Command"]
[280 "Diamond Protect Command"]
[281 "Opal Protect Command"]
[282 "Sapphire Protect Command"]
[283 "Ruby Protect Command"]
[284 "Garnet Protect Command"]
[285 "Emerald Protect Command"]
[286 "Rabbitsmash"]
[287 "Diamond Rabbitsmash"]
[288 "Opal Rabbitsmash"]
[289 "Sapphire Rabbitsmash"]
[290 "Ruby Rabbitsmash"]
[291 "Garnet Rabbitsmash"]
[292 "Emerald Rabbitsmash"]
[293 "Step & Swing"]
[294 "Diamond Step & Swing"]
[295 "Opal Step & Swing"]
[296 "Sapphire Step & Swing"]
[297 "Ruby Step & Swing"]
[298 "Garnet Step & Swing"]
[299 "Emerald Step & Swing"]
[300 "Doublesmash"]
[301 "Diamond Doublesmash"]
[302 "Opal Doublesmash"]
[303 "Sapphire Doublesmash"]
[304 "Ruby Doublesmash"]
[305 "Garnet Doublesmash"]
[306 "Emerald Doublesmash"]
[307 "Wheel Swing"]
[308 "Diamond Wheel Swing"]
[309 "Opal Wheel Swing"]
[310 "Sapphire Wheel Swing"]
[311 "Ruby Wheel Swing"]
[312 "Garnet Wheel Swing"]
[313 "Emerald Wheel Swing"]
[314 "Dimi Fire"]
[315 "Diamond Dimi Fire"]
[316 "Opal Dimi Fire"]
[317 "Sapphire Dimi Fire"]
[318 "Ruby Dimi Fire"]
[319 "Garnet Dimi Fire"]
[320 "Emerald Dimi Fire"]
[321 "Lat Fire"]
[322 "Diamond Lat Fire"]
[323 "Opal Lat Fire"]
[324 "Sapphire Lat Fire"]
[325 "Ruby Lat Fire"]
[326 "Garnet Lat Fire"]
[327 "Emerald Lat Fire"]
[328 "Flare Kick"]
[329 "Diamond Flare Kick"]
[330 "Opal Flare Kick"]
[331 "Sapphire Flare Kick"]
[332 "Ruby Flare Kick"]
[333 "Garnet Flare Kick"]
[334 "Emerald Flare Kick"]
[335 "Smokestep"]
[336 "Diamond Smokestep"]
[337 "Opal Smokestep"]
[338 "Sapphire Smokestep"]
[339 "Ruby Smokestep"]
[340 "Garnet Smokestep"]
[341 "Emerald Smokestep"]
[342 "Pistolshot"]
[343 "Diamond Pistolshot"]
[344 "Opal Pistolshot"]
[345 "Sapphire Pistolshot"]
[346 "Ruby Pistolshot"]
[347 "Garnet Pistolshot"]
[348 "Emerald Pistolshot"]
[349 "Reload"]
[350 "Diamond Reload"]
[351 "Opal Reload"]
[352 "Sapphire Reload"]
[353 "Ruby Reload"]
[354 "Garnet Reload"]
[355 "Emerald Reload"]
[356 "Mixed Bomb"]
[357 "Diamond Mixed Bomb"]
[358 "Opal Mixed Bomb"]
[359 "Sapphire Mixed Bomb"]
[360 "Ruby Mixed Bomb"]
[361 "Garnet Mixed Bomb"]
[362 "Emerald Mixed Bomb"]
[363 "Take Cover"]
[364 "Diamond Take Cover"]
[365 "Opal Take Cover"]
[366 "Sapphire Take Cover"]
[367 "Ruby Take Cover"]
[368 "Garnet Take Cover"]
[369 "Emerald Take Cover"]
[370 "Anger"]
[371 "Diamond Anger"]
[372 "Opal Anger"]
[373 "Sapphire Anger"]
[374 "Ruby Anger"]
[375 "Garnet Anger"]
[376 "Emerald Anger"]
[377 "Envy"]
[378 "Diamond Envy"]
[379 "Opal Envy"]
[380 "Sapphire Envy"]
[381 "Ruby Envy"]
[382 "Garnet Envy"]
[383 "Emerald Envy"]
[384 "Sadness"]
[385 "Diamond Sadness"]
[386 "Opal Sadness"]
[387 "Sapphire Sadness"]
[388 "Ruby Sadness"]
[389 "Garnet Sadness"]
[390 "Emerald Sadness"]
[391 "Panic"]
[392 "Diamond Panic"]
[393 "Opal Panic"]
[394 "Sapphire Panic"]
[395 "Ruby Panic"]
[396 "Garnet Panic"]
[397 "Emerald Panic"]
[398 "???"]
[399 "Raven Grimoire"]
[400 "Blackwing Staff"]
[401 "Curse Talon"]
[402 "Darkmagic Blade"]
[403 "Witch's Cloak"]
[404 "Crowfeather Hairpin"]
[405 "Redblack Ribbon"]
[406 "Opal Necklace"]
[407 "Sleeping Greatbow"]
[408 "Crescentmoon Dagger"]
[409 "Lullaby Harp"]
[410 "Nightstar Grimoire"]
[411 "Moon Pendant"]
[412 "Pajama Hat"]
[413 "Stuffed Rabbit"]
[414 "Nightingale Gown"]
[415 "Eternity Flute"]
[416 "Timewarp Wand"]
[417 "Chrome Shield"]
[418 "Clockwork Tome"]
[419 "Metronome Boots"]
[420 "Timemage Cap"]
[421 "Starry Cloak"]
[422 "Gemini Necklace"]
[423 "Hawkfeather Fan"]
[424 "Windbite Dagger"]
[425 "Pidgeon Bow"]
[426 "Shinsoku Katana"]
[427 "Eaglewing Charm"]
[428 "Sparrow Feather"]
[429 "Winged Cap"]
[430 "Thief's Coat"]
[431 "Vampiric Dagger"]
[432 "Bloody Bandage"]
[433 "Leech Staff"]
[434 "Bloodhound Greatsword"]
[435 "Reaper Cloak"]
[436 "Bloodflower Brooch"]
[437 "Wolf Hood"]
[438 "Blood Vial"]
[439 "Black Wakizashi"]
[440 "Throwing Dagger"]
[441 "Assassin's Knife"]
[442 "Ninjutsu Scroll"]
[443 "Shadow Bracelet"]
[444 "Ninja Robe"]
[445 "Kunoichi Hood"]
[446 "Shinobi Tabi"]
[447 "Dragonhead Spear"]
[448 "Granite Greatsword"]
[449 "Greysteel Shield"]
[450 "Stonebreaker Staff"]
[451 "Tough Gauntlet"]
[452 "Rockdragon Mail"]
[453 "Obsidian Hairpin"]
[454 "Iron Greaves"]
[455 "Volcano Spear"]
[456 "Reddragon Blade"]
[457 "Flame Bow"]
[458 "Meteor Staff"]
[459 "Phoenix Charm"]
[460 "Firescale Corset"]
[461 "Demon Horns"]
[462 "Flamewalker Boots"]
[463 "Diamond Shield"]
[464 "Peridot Rapier"]
[465 "Garnet Staff"]
[466 "Sapphire Violin"]
[467 "Emerald Chestplate"]
[468 "Amethyst Bracelet"]
[469 "Topaz Charm"]
[470 "Ruby Circlet"]
[471 "Brightstorm Spear"]
[472 "Bolt Staff"]
[473 "Lightning Bow"]
[474 "Darkstorm Knife"]
[475 "Darkcloud Necklace"]
[476 "Crown of Storms"]
[477 "Thunderclap Gloves"]
[478 "Storm Petticoat"]
[479 "Holy Greatsword"]
[480 "Sacred Bow"]
[481 "Purification Rod"]
[482 "Ornamental Bell"]
[483 "Shrinemaiden's Kosode"]
[484 "Redwhite Ribbon"]
[485 "Divine Mirror"]
[486 "Golden Chime"]
[487 "Book of Cheats"]
[488 "Golden Katana"]
[489 "Glittering Trumpet"]
[490 "Royal Staff"]
[491 "Ballroom Gown"]
[492 "Silver Coin"]
[493 "Queen's Crown"]
[494 "Mimick Rabbitfoot"]
[495 "Butterfly Ocarina"]
[496 "Fairy Spear"]
[497 "Moss Shield"]
[498 "Floral Bow"]
[499 "Blue Rose"]
[500 "Sunflower Crown"]
[501 "Midsummer Dress"]
[502 "Grasswoven Bracelet"]
[503 "Snakefang Dagger"]
[504 "Ivy Staff"]
[505 "Deathcap Tome"]
[506 "Spiderbite Bow"]
[507 "Compound Gloves"]
[508 "Poisonfrog Charm"]
[509 "Venom Hood"]
[510 "Chemist's Coat"]
[511 "Seashell Shield"]
[512 "Necronomicon"]
[513 "Tidal Greatsword"]
[514 "Occult Dagger"]
[515 "Mermaid Scalemail"]
[516 "Hydrous Blob"]
[517 "Abyss Artifact"]
[518 "Lost Pendant"]
[519 "Sawtooth Cleaver"]
[520 "Raven's Dagger"]
[521 "Killing Note"]
[522 "Blacksteel Buckler"]
[523 "Nightguard Gloves"]
[524 "Sniper's Eyeglasses"]
[525 "Darkmage Charm"]
[526 "Firststrike Bracelet"]
[527 "Obsidian Rod"]
[528 "Darkglass Spear"]
[529 "Timespace Dagger"]
[530 "Quartz Shield"]
[531 "Pocketwatch"]
[532 "Nova Crown"]
[533 "Blackhole Charm"]
[534 "Twinstar Earrings"]
[535 "Kyou No Omikuji"]
[536 "Youkai Bracelet"]
[537 "Oni Staff"]
[538 "Kappa Shield"]
[539 "Usagi Kamen"]
[540 "Red Tanzaku"]
[541 "Vega Spear"]
[542 "Altair Dagger"]
[543 "Ghost Spear"]
[544 "Phantom Dagger"]
[545 "Cursed Candlestaff"]
[546 "Haunted Gloves"]
[547 "Old Bonnet"]
[548 "Maid Outfit"]
[549 "Calling Bell"]
[550 "Smoke Shield"]
[551 "Grandmaster Spear"]
[552 "Teacher Knife"]
[553 "Tactician Rod"]
[554 "Spiked Shield"]
[555 "Battlemaiden Armor"]
[556 "Gladiator Helmet"]
[557 "Lancer Gauntlets"]
[558 "Lion Charm"]
[559 "Bluebolt Staff"]
[560 "Lapis Sword"]
[561 "Shockwave Tome"]
[562 "Battery Shield"]
[563 "Raiju Crown"]
[564 "Staticshock Earrings"]
[565 "Stormdance Gown"]
[566 "Blackbolt Ribbon"]
[567 "Crane Katana"]
[568 "Falconfeather Dagger"]
[569 "Tornado Staff"]
[570 "Cloud Guard"]
[571 "Hermes Bow"]
[572 "Talon Charm"]
[573 "Tiny Wings"]
[574 "Feathered Overcoat"]
[575 "Sandpriestess Spear"]
[576 "Flamedancer Dagger"]
[577 "Whiteflame Staff"]
[578 "Sacred Shield"]
[579 "Marble Clasp"]
[580 "Sun Pendant"]
[581 "Tiny Hourglass"]
[582 "Desert Earrings"]
[583 "Giant Stone Club"]
[584 "Ruins Sword"]
[585 "Mountain Staff"]
[586 "Boulder Shield"]
[587 "Golem's Claymore"]
[588 "Stoneplate Armor"]
[589 "Sacredstone Charm"]
[590 "Clay Rabbit"]
[591 "Waterfall Polearm"]
[592 "Vorpal Dao"]
[593 "Jade Staff"]
[594 "Reflection Shield"]
[595 "Butterfly Hairpin"]
[596 "Watermage Pendant"]
[597 "Raindrop Earrings"]
[598 "Aquamarine Bracelet"]
[599 "Glacier Spear"]
[600 "Frost Dagger"]
[601 "Frozen Staff"]
[602 "Coldsteel Shield"]
[603 "Polar Coat"]
[604 "Icicle Earrings"]
[605 "Winter Hat"]
[606 "Snow Boots"]
[607 "Spear of Remorse"]
[608 "Memory Greatsword"]
[609 "Staff of Sorrow"]
[610 "Shield of Smiles"]
[611 "Lonesome Pendant"]
[612 "Spark of Determination"]
[613 "Crown of Love"]
[614 "Comforting Coat"]
[615 "Righthand Cast"]
[616 "Lefthand Cast"]
[617 "Hexed Blindfold"]
[618 "Angel's Halo"]
[619 "Unsacred Pendant"]
[620 "Whitewing Bracelet"]
[621 "Darkcrystal Rose"]
[622 "Dark Wings"]
[623 "Giant Paintbrush"]
[624 "Sewing Sword"]
[625 "Sketchbook"]
[626 "Palette Shield"]
[627 "Handmade Charm"]
[628 "Painter's Beret"]
[629 "Artist Smock"]
[630 "Colorful Earrings"]
[631 "Daylight Sword"]
[632 "Nightgleam Sword"]
[633 "Spear of Winds"]
[634 "Spear of Rains"]
[635 "Heaven's Codex"]
[636 "Hell's Codex"]
[637 "Robe of Light"]
[638 "Robe of Dark"]
[639 "Hooked Staff"]
[640 "Springloaded Scythe"]
[641 "Hidden Blade"]
[642 "Sharpedged Shield"]
[643 "Pointed Ring"]
[644 "Crown of Swords"]
[645 "Bladed Cloak"]
[646 "Greatsword Pendant"]
[647 "Rusted Greatsword"]
[648 "Sand Shovel"]
[649 "Saltwater Staff"]
[650 "Large Umbrella"]
[651 "Onepiece Swimsuit"]
[652 "Straw Hat"]
[653 "Large Anchor"]
[654 "Beach Sandals"]
[655 "Strongman's Bar"]
[656 "Spinning Chakram"]
[657 "Ribboned Staff"]
[658 "Trick Shield"]
[659 "Rosered Leotard"]
[660 "Jester's Hat"]
[661 "Rainbow Cape"]
[662 "Performer's Shoes"]
[663 "Iron Pickaxe"]
[664 "Dynamite Staff"]
[665 "Fossil Dagger"]
[666 "Drill Shield"]
[667 "Canary Charm"]
[668 "Pyrite Earrings"]
[669 "Caver's Cloak"]
[670 "Miner's Headlamp"]
[671 "Tiny Fork"]
[672 "Stirring Spoon"]
[673 "Fanciful Book"]
[674 "Apple Plate"]
[675 "Vanilla Wafers"]
[676 "Caramel Tea"]
[677 "Strawberry Cake"]
[678 "Sweet Taffy"]
[679 "Full Heal"]
[680 "Level Up"]
[681 "Regeneration Potion"]
[682 "Essence of Spell"]
[683 "Darkness Potion"]
[684 "Quickening Potion"]
[685 "Winged Potion"]
[686 "Essence of Wit"]
[687 "Swifthand Potion"]
[688 "Fire Potion"]
[689 "Essence of Strength"]
[690 "Golden Potion"]
[691 "Luck Potion"]
[692 "Essence of Steel"]
[693 "Evasion Potion"]
[694 "Longarm Potion"]
[695 "Vitality Potion"]
[696 "Experimental Potion"]
[697 "Opal Primary Upgrade"]
[698 "Opal Secondary Upgrade"]
[699 "Opal Special Upgrade"]
[700 "Opal Defensive Upgrade"]
[701 "Sapphire Primary Upgrade"]
[702 "Sapphire Secondary Upgrade"]
[703 "Sapphire Special Upgrade"]
[704 "Sapphire Defensive Upgrade"]
[705 "Ruby Primary Upgrade"]
[706 "Ruby Secondary Upgrade"]
[707 "Ruby Special Upgrade"]
[708 "Ruby Defensive Upgrade"]
[709 "Garnet Primary Upgrade"]
[710 "Garnet Secondary Upgrade"]
[711 "Garnet Special Upgrade"]
[712 "Garnet Defensive Upgrade"]
[713 "Emerald Primary Upgrade"]
[714 "Emerald Secondary Upgrade"]
[715 "Emerald Special Upgrade"]
[716 "Emerald Defensive Upgrade"]
